IdSchoolClass;ClassAcronym;ClassName;StartDate;EndDate;StartHour;EndHour;Location;Type;Area;CoursesCount;WorkHourLoad;StudentsCount;ClassAverage;HighestGrade;LowestGrade;CoursesList
1;CET.ARCI.D.L.00;Técnico(a) Especialista Em Automação, Robótica E Controlo Industrial;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
2;CET.SITE.DPO.05;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
3;CET.GRSI.D.L.75;Técnico(a) Especialista Em Gestão De Redes E Sistemas Informáticos;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
4;CET.TPSI.D.L.76;Técnico(a) Especialista Em Tecnologias E Programação De Sistemas De Informação;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
5;CET.SITE.DPO.86;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
6;CET.ARCI.D.L.00;Técnico(a) Especialista Em Automação, Robótica E Controlo Industrial;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
7;CET.SITE.DPO.05;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
8;CET.GRSI.D.L.75;Técnico(a) Especialista Em Gestão De Redes E Sistemas Informáticos;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
9;CET.TPSI.D.L.76;Técnico(a) Especialista Em Tecnologias E Programação De Sistemas De Informação;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
10;CET.SITE.DPO.86;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];20;21;22;23;24;25;26;27;28;29;30
11;CET.ARCI.D.L.00;Técnico(a) Especialista Em Automação, Robótica E Controlo Industrial;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];20;21;22;23;24;25;26;27;28;29;30
12;CET.SITE.DPO.05;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];20;21;22;23;24;25;26;27;28;29;30
13;CET.GRSI.D.L.75;Técnico(a) Especialista Em Gestão De Redes E Sistemas Informáticos;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];20;21;22;23;24;25;26;27;28;29;30
14;CET.TPSI.D.L.76;Técnico(a) Especialista Em Tecnologias E Programação De Sistemas De Informação;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];20;21;22;23;24;25;26;27;28;29;30
15;CET.SITE.DPO.86;Técnico(a) Especialista Em Desenvolvimento De Produtos Multimédia;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];20;21;22;23;24;25;26;27;28;29;30
16;TURMA-1;turma-1;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
17;TURMA-2;turma-22;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
18;TURMA-3;turma-3;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
19;TURMA-4;turma-4;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
20;TURMA-5;turma-55;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
21;TURMA-6;turma-6;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
22;TURMA-1;turma-1;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
23;TURMA-2;turma-22;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
24;TURMA-3;turma-3;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
25;TURMA-4;turma-4;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
26;TURMA-5;turma-55;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
27;TURMA-6;turma-6;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
28;TURMA-1;turma-1;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
29;TURMA-2;turma-22;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
30;TURMA-3;turma-3;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
31;TURMA-4;turma-4;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
32;TURMA-5;turma-55;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
33;TURMA-6;turma-6;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
34;TURMA-1;turma-1;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
35;TURMA-2;turma-22;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];1;2;3;4;5;6;7;8;9;10
36;TURMA-3;turma-3;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
37;TURMA-4;turma-4;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];11;12;13;14;15;16;17;18;19;20
38;TURMA-5;turma-55;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
39;TURMA-6;turma-6;04/01/2022;04/01/2024;21:33;05:33;area:campos[8];type:campos[9];area:campos[10];21;22;23;24;25;26;27;28;29;30
